id_supplier,name_supplier,phone_supplier,address_supplier,created_at,updated_at
1,Prof. Alyson Bashirian,(540) 709-1330,"566 Bradley Cliffs Suite 699
Mohammedtown, MO 85130-8664",2023-07-19 15:02:03,2023-07-19 15:02:03
2,Wilhelmine Casper I,+1 (240) 952-1520,"640 Wuckert Stravenue
Rebaside, AZ 00843-5048",2023-07-19 15:02:03,2023-07-19 15:02:03
3,Noelia Gleason,(502) 210-4835,"1441 Greg Vista Suite 192
North Daphneyside, VT 80167-2136",2023-07-19 15:02:03,2023-07-19 15:02:03
4,Elda Goodwin,+1-248-564-9662,"1537 Kerluke Cape Suite 228
Wolfffort, NV 80542",2023-07-19 15:02:03,2023-07-19 15:02:03
5,Joe Stracke,203-353-7534,"47929 Vada Terrace Apt. 816
Port Dinaland, OK 94288-7649",2023-07-19 15:02:03,2023-07-19 15:02:03
6,Tia Schroeder,+12406049417,"161 Reynolds Falls Apt. 767
Grantview, NM 95446-9322",2023-07-19 15:02:03,2023-07-19 15:02:03
7,Cole Wiegand,+1 (770) 534-9387,"717 Schiller Plain Apt. 201
West Leif, MI 90670",2023-07-19 15:02:03,2023-07-19 15:02:03
8,Alfreda Kub,1-949-704-3642,"5259 Sage Bridge
South Luluton, MA 24016",2023-07-19 15:02:03,2023-07-19 15:02:03
9,Charity Beer,1-936-686-3357,"6576 Everette Groves
McClurebury, ND 13707-0768",2023-07-19 15:02:03,2023-07-19 15:02:03
10,Mrs. Verna Bauch,(678) 558-3446,"25012 Harris Brook Apt. 827
West Samaraborough, MA 02986",2023-07-19 15:02:03,2023-07-19 15:02:03
